Category,Choline,Vitamin B3,Vitamin B5,Vitamin B2,Selenium,Vitamin B1,Vitamin B12,Vitamin B6,Retinol,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,.Zinc,Vitamin C,Vitamin E,Vitamin K
TURKEY,0,2.817,1.156,0.219,28.6,0.076,0.4,0.36,0,74.03,1.11,1.46,1.64,18,1.9,23,185,287,74,3.1,0,0,0
TURKEY,0,3.76,1.236,0.235,40.9,0.059,0.36,0.34,0,62.74,1.77,2.33,2.61,30,2.33,25,204,292,75,4.39,0,0,0
TURKEY,0,2.369,0.871,0.177,24,0.058,0.35,0.27,2,65.61,6.12,3.89,4.41,18,1.78,18,153,231,61,2.53,0,0,0
TURKEY,0,3.554,1.035,0.213,34.3,0.051,0.33,0.29,0,56.91,5.45,4.01,4.54,31,2.22,23,189,263,69,3.89,0,0,0
TURKEY,0,4.904,0.612,0.123,21.8,0.053,0.41,0.48,2,69,3.19,1.95,2.25,13,1.41,24,179,266,55,1.54,0,0,0
TURKEY,0,6.678,0.62,0.128,27.9,0.053,0.35,0.47,0,62.69,2.5,1.93,2.25,22,1.36,26,210,289,58,1.97,0,0,0
TURKEY,0,2.711,1.089,0.209,27.3,0.072,0.39,0.34,1,72.04,2.29,2.04,2.29,18,1.87,22,178,273,70,2.96,0,0,0
TURKEY,0,3.689,1.166,0.227,38.6,0.056,0.35,0.32,0,60.73,3.04,2.91,3.28,30,2.29,24,198,282,73,4.22,0,0,0
TURKEY,0,4.295,0.547,0.116,21.5,0.047,0.38,0.4,2,65.18,5.62,3.22,3.68,14,1.43,21,162,238,51,1.49,0,0,0
TURKEY,0,6.084,0.57,0.128,27.6,0.048,0.33,0.41,0,58.53,5.02,3.19,3.68,24,1.43,25,198,268,56,1.99,0,0,0
TURKEY,0,4.334,0.943,0.193,23.3,0.071,1.55,0.41,87,71.14,2.55,1.79,2.05,15,1.5,22,182,274,70,2.39,0.2,0,0
TURKEY,0,4.759,0.972,0.211,32.9,0.061,1.27,0.41,86,62.18,2.86,2.26,2.58,26,2,24,201,276,72,3.24,0.1,0,0
TURKEY,0,4.295,0.805,0.152,24.5,0.07,0.4,0.41,2,70.96,2.68,1.84,2.1,15,1.28,22,180,271,68,2.28,0,0,0
TURKEY,0,4.9,0.879,0.183,34.5,0.062,0.36,0.42,0,61.92,2.98,2.31,2.64,27,1.78,25,203,282,72,3.02,0,0,0
TURKEY,0,4.768,0.902,0.165,26.5,0.079,0.43,0.47,0,74.38,0.57,0.78,0.89,14,1.3,24,198,302,73,2.46,0,0,0
TURKEY,0,5.265,0.968,0.188,36.8,0.068,0.38,0.47,0,65.05,0.98,1.35,1.54,25,1.78,26,214,301,74,3.17,0,0,0
TURKEY,0,1.568,0.263,0.079,13,0.019,0.25,0.07,15,51.25,14.73,7.92,9.02,18,1.2,8,82,96,40,1.26,0,0,0
TURKEY,0,2.534,0.316,0.155,152.9,0.022,0.25,0.08,0,41.54,15.87,8.53,9.72,37,1.76,17,140,161,60,2.08,0,0,0
TURKEY,0,5.302,0.612,0.108,22.4,0.061,0.42,0.47,2,70.2,2.68,1.66,1.91,13,1.04,24,188,277,63,1.6,0,0,0
TURKEY,0,6.024,0.639,0.134,30.7,0.061,0.36,0.48,0,63.13,2.66,1.86,2.15,21,1.41,27,209,287,67,2.1,0,0,0
TURKEY,0,3.087,1.039,0.205,26.6,0.08,0.38,0.33,2,71.88,2.66,2.06,2.32,17,1.57,20,172,265,75,3.11,0,0,0
TURKEY,0,3.429,1.196,0.247,39.7,0.062,0.37,0.33,0,60.33,3.41,2.91,3.28,35,2.26,23,197,276,80,4.25,0,0,0
TURKEY,0,6.036,0.684,0.114,24.4,0.07,0.45,0.55,0,73.96,0.28,0.42,0.5,12,1.01,27,209,314,67,1.67,0,0,0
TURKEY,0,6.575,0.693,0.131,32.1,0.067,0.38,0.55,0,66.56,0.51,0.78,0.93,18,1.36,28,220,308,68,2.1,0,0,0
TURKEY,0,3.313,1.153,0.224,28.6,0.089,0.4,0.36,0,74.7,0.93,1.23,1.38,17,1.62,21,185,290,80,3.38,0,0,0
TURKEY,0,3.563,1.325,0.261,40.9,0.068,0.38,0.37,0,63.07,1.58,2.09,2.34,35,2.33,23,205,293,82,4.56,0,0,0
TURKEY,0,2.91,0.948,0.191,25.5,0.073,0.37,0.3,3,69.29,4.12,2.78,3.14,17,1.53,18,161,245,71,2.89,0,0,0
TURKEY,0,3.336,1.103,0.238,38,0.058,0.35,0.31,0,58.33,4.73,3.51,3.97,35,2.21,22,191,264,77,4.01,0,0,0
TURKEY,0,5.391,0.623,0.109,22,0.063,0.42,0.48,2,70.68,2.36,1.5,1.73,13,1.04,24,191,282,63,1.61,0,0,0
TURKEY,0,6.048,0.644,0.134,30.2,0.061,0.36,0.49,0,63.3,2.51,1.79,2.08,21,1.41,27,210,289,67,2.1,0,0,0
TURKEY,0,3.185,1.088,0.213,27.6,0.084,0.39,0.34,1,72.98,1.94,1.72,1.94,17,1.59,20,177,275,77,3.22,0,0,0
TURKEY,0,3.473,1.237,0.252,41.1,0.064,0.37,0.34,0,61.18,2.83,2.66,2.99,35,2.28,23,200,281,80,4.34,0,0,0
TURKEY,0,4.73,0.561,0.104,22,0.055,0.39,0.41,4,67.32,4.5,2.61,2.99,13,1.07,21,172,250,60,1.55,0,0,0
TURKEY,0,5.565,0.599,0.137,30.2,0.056,0.35,0.43,0,60.31,4.35,2.72,3.13,23,1.46,25,200,271,66,2.1,0,0,0
CHICKEN,64,6.329,0.85,0.129,15.8,0.015,0.29,0.35,34,68.65,3.15,1.75,2.2,14,1.58,12,111,138,503,1.41,2,0.26,1.8
PATE DE FOIE GRAS,0,2.51,1.2,0.299,44,0.088,9.4,0.06,1001,37.04,25.61,0.84,14.45,70,5.5,13,200,138,697,0.92,2,0,0
TURKEY,74,6.622,0.686,0.171,25.9,0.014,0.28,0.33,0,66.07,2.26,1.75,2,12,1.86,20,162,224,467,2.37,2,0.27,0.7
TURKEY,0,4.8,0.589,0.11,26.1,0.04,0.24,0.28,0,71.7,1.98,1.53,1.75,1,1.8,17,240,310,850,2.02,0,0,0
TURKEY AND GRAVY,0,1.799,0.213,0.127,19.2,0.024,0.24,0.1,13,85.07,0.97,0.47,0.85,14,0.93,8,81,61,554,0.7,0,0,0
TURKEY PATTIES,55,2.3,0.52,0.19,22.1,0.1,0.23,0.197,9,49.7,7.47,4.71,4.69,14,2.2,15,270,275,800,1.44,0,0.93,15.4
TURKEY BREAST,0,9.067,0.489,0.133,25.7,0.053,0.32,0.32,0,70.91,1.14,0.84,0.98,9,0.66,21,214,248,397,1.53,0,0,0
TURKEY THIGH,0,2.409,0.812,0.255,27.9,0.083,0.24,0.23,0,70.6,2.53,2.35,2.65,8,1.51,17,171,241,437,4.12,0,0,0
TURKEY RST,0,4.4,0.733,0.12,26.5,0.04,0.35,0.38,0,70.4,0.47,0.64,0.73,1,2.1,20,158,360,678,1.91,0,0,0
TURKEY RST,64,6.271,0.806,0.163,36.5,0.047,1.52,0.27,0,67.84,1.2,1.66,1.9,5,1.63,22,244,298,680,2.54,0,0.38,0.7
TURKEY STKS,0,2.1,0.533,0.18,20.7,0.1,0.23,0.2,12,49.4,6.92,4.39,4.38,14,2.2,15,234,260,838,1.46,0,0,0
POULTRY,0,4.63,0.824,0.129,10.7,0.05,0.25,0.19,74,62.66,10.44,4.96,7.45,138,1.57,12,132,104,40,1.29,1.5,0,0
POULTRY,0,6.246,1.202,0.175,14.4,0.071,0.35,0.32,32,69.29,7.41,2.28,4.71,123,1.73,13,154,128,51,1.82,3,0,0
POULTRY,0,5.254,0.772,0.14,15.7,0.096,0.27,0.28,45,62.95,9.3,4.55,4.73,187,1.22,12,132,104,40,1.9,2,0,0
TURKEY,0,1.969,0.673,0.134,26.5,0.048,0.26,0.21,0,69.09,5.02,4.51,5.31,145,1.61,13,115,173,48,2.9,0,0,0
POULTRY FD PRODUCTS,0,3.493,0.69,0.133,18.9,0.055,0.34,0.35,2,71.97,3.1,2,2.25,13,1.25,19,156,233,94,1.93,0,0.35,0.6
POULTRY FD PRODUCTS,75,4.819,0.813,0.168,37.2,0.054,0.33,0.39,0,59.42,4.89,3.23,3.39,25,1.93,24,196,270,107,2.86,0,0.34,0.9
CHICKEN,0,5.675,0.609,0.17,11.8,0.073,0.33,0.295,32,68.18,6.16,2.77,3.89,11,0.78,18,140,236,61,1.15,0.5,0.28,2.4
CHICKEN,56,5.897,0.593,0.199,15.5,0.067,0.28,0.307,32,58.68,8,3.6,5.05,13,0.91,18,146,245,64,1.49,0.5,0.36,2.4
CHICKEN,0,6.744,0.636,0.216,15.8,0.092,0.4,0.385,22,75.84,1.07,0.81,0.85,12,0.74,21,160,269,68,1.31,0.6,0.21,2.4
CHICKEN,66,6.273,0.555,0.227,20.8,0.075,0.3,0.358,20,71.9,1.24,0.94,0.99,13,0.77,19,149,250,63,1.53,0.6,0.24,2.4
CHICKEN,74,2.4,0,0.1,18.4,0,1,0.19,53,64.9,3.279,1.978,2.25,14,1.3,19,153,153,135,2.5,0,0.32,2.3
CHICKEN,0,5.5,0.545,0.242,33.2,0.074,0.4,0.142,17,61.79,5.766,2.359,3.321,28,2.41,20,205,190,615,1.14,0,0.36,0
CHICKEN,0,7.1,0.711,0.296,41.7,0.081,0.48,0.21,20,53.89,6.297,2.599,3.655,38,2.74,27,272,254,837,1.55,0.5,0.38,0
DUCK,0,7.855,0,0,26.4,0,0,0,0,63.25,5.428,1.632,2.922,8,3.26,0,0,0,84,0,2.8,0,0
DUCK,0,10.35,0,0,29,0,0,0,0,68.25,0.871,0.378,0.578,9,4.49,0,0,0,105,0,3.2,0,0
DUCK,0,5.77,0,0,21.8,0,0,0,0,60.9,5.617,1.896,2.975,10,2.08,0,0,0,110,0,1.5,0,0
DUCK,0,5.33,0,0,21.6,0,0,0,0,64.6,2.637,0.909,1.339,10,2.33,0,0,0,108,0,2.3,0,0
CHICKEN,0,6.03,0.603,0.26,34.2,0.117,0.55,0.183,21,57.25,6.737,2.838,3.966,28,1.97,21,233,218,559,1.3,0,0.44,0
CHICKEN NUGGETS,41,4.461,1.017,0.063,17.3,0.1,0.12,0.174,0,48.59,8.862,4.376,3.992,31,1.18,26,198,265,557,1.24,0,1.27,11
CHICKEN NUGGETS,46,6.736,0.832,0.055,17,0.106,0.23,0.331,16,51.55,8.266,4.393,3.575,22,1.06,17,169,249,424,0.81,0,1.18,10
CHICKEN PATTY,45,6.63,1.081,0.054,21.4,0.073,0.23,0.155,11,50.04,8.98,5.204,4.013,20,0.93,25,196,248,518,0.94,0,1.18,11.1
CHICKEN PATTY,34,4.764,1.09,0.072,23.3,0.083,0.29,0.183,0,50.82,8.337,4.805,3.662,19,0.95,24,208,261,532,1.05,0,1.28,4.2
CHICKEN BREAST TENDERS,39,5.559,0.915,0.084,24.6,0.256,0.34,0.04,0,47.76,6.787,3.038,3.786,18,1.14,24,210,218,457,0.77,0,0.4,4.5
CHICKEN BREAST TENDERS,41,6.514,0.994,0.098,30.6,0.324,0.44,0.037,0,51.34,5.71,2.79,3.2,14,1,26,216,225,446,0.77,0,0.37,4.2
CHICKEN BREAST TENDERS,96,5.71,0.855,0.091,24.7,0.211,0.27,0.041,0,52.74,6.48,3.34,3.26,19,1.11,23,211,214,451,0.78,0.8,0.08,14.7
CHICKEN,59,5.575,1.092,0.241,10.2,0.109,0.56,0.512,0,73.24,3.611,1.508,2.301,6,0.82,21,178,522,60,1.47,0,0.27,0.8
CHICKEN,59,7.107,1.327,0.302,14.3,0.121,0.51,0.538,0,64.92,4.879,2.08,3.11,8,0.93,28,234,677,75,1.92,0,0.39,2.1
CHICK,13,0.4,0,0.2,3.6,0.06,0.47,0.01,30,65.8,5.5,2.98,3.92,88,0.91,5,83,31,67,0.69,0,0.27,0.2
USDA CMDTY CHICK,74,6.505,0.755,0.171,24.5,0.051,0.23,0.266,12,67.29,2.047,1.313,1.572,12,1.16,22,156,189,271,1.94,0,0.27,2
USDA CMDTY,59,5.204,0.604,0.137,19.6,0.041,0.18,0.213,10,73.31,1.637,1.05,1.258,10,0.93,18,125,151,251,1.55,0,0.21,1.6
USDA CMDTY,60,5.471,0.604,0.143,19.6,0.041,0.2,0.215,10,72.55,1.691,1.075,1.293,10,0.97,18,131,168,256,1.57,0,0.21,1.6
CHICKEN,64,6,1.2,0.21,48.3,0.08,0.71,0.14,17,61.24,4.898,1.701,3.007,38,0.97,21,250,309,661,2.04,0,0.25,0
CHICKEN,64,9.987,1.442,0.135,32.6,0.084,0.28,0.325,5,66.67,1.412,0.48,0.843,14,0.48,26,256,296,341,0.91,0,0.17,0
CHICKEN,86,5.958,1.333,0.237,38.2,0.067,0.49,0.19,10,63.05,2.855,1.041,1.594,21,1.09,24,257,301,417,2.96,0,0.3,0
CHICKEN,46,5.737,1.2,0.121,18.5,0.036,0.59,0.138,56,43.76,16.793,5.423,9.994,25,0.98,26,248,245,381,1.03,0,0.36,0
CHICKEN,68,5.433,1.262,0.233,27,0.055,0.45,0.176,13,63.89,4.878,1.673,2.866,13,0.97,21,217,264,337,2.01,0,0.25,0
CHICKEN,68,7.5,1.3,0.135,51.1,0.09,0.38,0.18,11,61.13,3.766,1.323,2.223,32,0.97,24,264,322,725,2.05,0,0.28,0
CHICKEN,59,5.928,1.2,0.185,40.1,0.068,0.68,0.139,28,56.44,8.162,2.723,4.924,35,0.97,23,249,291,584,1.77,0,0.28,0
CHICKEN,62,9.397,1.408,0.133,30.6,0.078,0.32,0.299,12,63.49,3.548,1.166,2.114,15,0.55,26,255,289,347,0.92,0,0.2,0
CHICKEN,79,5.921,1.311,0.218,34.8,0.062,0.51,0.181,18,59.78,5.22,1.785,3.02,21,1.07,25,255,291,411,2.63,0,0.31,0
CHICKEN,64,5.487,1.251,0.213,25.5,0.052,0.47,0.169,21,60.34,6.979,2.334,4.123,15,0.97,22,222,260,345,1.84,0,0.27,0
CHICKEN,60,6.912,1.267,0.13,40.2,0.072,0.45,0.166,26,55.34,8.109,2.69,4.814,29,0.97,24,258,296,610,1.71,0,0.3,0
USDA CMDTY,68,4.779,0.726,0.213,16.7,0.1,0.54,0.387,5,70.6,2.333,1.089,1.596,13,0.99,22,277,284,799,1.37,0,0.22,0.2
USDA CMDTY,53,2.982,0.595,0.334,17.9,0.078,2.17,0.3,0,70,2.59,2.11,1.765,69,1.8,27,180,297,632,2.52,0,0.25,0.7
USDA COMMODITY,0,4.12,0,0.27,38.2,0.23,0.8,0.06,16,73.5,1.337,0.873,1.2,7,1,16,289,253,909,2.1,0,0,0
EMU,0,7.485,2.74,0.457,30.5,0.27,6.75,0.642,0,72.87,1.607,0.557,1.022,7,4.02,24,222,320,56,3.48,0,0.24,0
EMU,0,8.925,3.08,0.545,43.5,0.318,8.52,0.833,0,65.83,1.953,0.677,1.242,8,5.01,29,269,375,65,4.56,0,0.24,3.6
EMU,0,7.397,2.708,0.451,32.5,0.267,6.67,0.634,0,74.62,0.319,0.109,0.201,3,4.5,42,236,300,120,3.5,0,0.22,0
EMU,0,9.814,3.387,0.599,46.1,0.35,9.37,0.916,0,66.43,0.917,0.318,0.583,6,4.56,30,272,397,53,3.19,0,0.23,0
EMU,0,6.786,2.484,0.414,31.5,0.245,6.12,0.582,0,75.4,0.295,0.102,0.187,3,5,31,229,240,150,3,0,0.22,0
EMU,0,7.504,2.747,0.458,32.5,0.36,2.24,0.643,4,73.79,0.516,0.329,0.448,4,4.96,40,236,330,90,3.59,0,0.23,0
EMU,0,10.569,3.647,0.645,52.1,0.43,2.2,0.987,3,61.97,1.079,0.613,0.87,7,6.89,34,323,324,110,4.32,0,0.26,0
EMU,0,7.304,2.674,0.446,31.4,0.42,2.26,0.626,5,74.73,0.532,0.256,0.386,4,5.23,26,229,318,102,4.33,0,0.22,0
EMU,0,10.164,3.508,0.621,49.6,0.41,2.4,0.949,3,64.31,0.859,0.408,0.654,6,7.27,33,307,312,118,5.09,0,0.25,0
EMU,0,7.245,2.5,0.442,36.3,0.258,6.92,0.676,0,74.87,0.202,0.07,0.122,3,4.5,29,225,320,100,4.5,0,0.17,0
EMU,0,7.499,2.745,0.458,29.8,0.271,6.76,0.643,0,72.57,1.937,0.671,1.231,4,5.5,30,217,250,150,6,0,0.24,0
EMU,0,9.124,3.149,0.557,43.5,0.325,8.71,0.852,0,67.37,1.249,0.433,0.794,9,5.07,30,274,374,58,3.42,0,0.23,0
OSTRICH,0,4.377,1.08,0.267,33,0.182,4.61,0.475,0,71.07,2.654,0.91,2.177,7,2.91,20,199,291,72,3.51,0,0.24,0
OSTRICH,66,6.557,1.21,0.268,33.5,0.213,5.74,0.501,0,67.12,2.156,0.739,1.793,8,3.43,23,224,323,80,4.33,0,0.24,3.5
OSTRICH,0,4.722,1.165,0.288,34.9,0.196,4.97,0.513,0,75.93,0.95,0.5,0.95,6,4.38,22,211,308,75,3.71,0,0.2,0
OSTRICH,0,4.847,1.196,0.295,36.4,0.201,5.1,0.526,0,75.97,0.6,0.38,0.6,5,2.3,22,220,320,72,3.87,0,0.2,0
OSTRICH,0,7.274,1.342,0.298,36.5,0.237,6.36,0.555,0,69.95,0.67,0.32,0.7,6,3.12,25,244,352,83,4.71,0,0.22,0
OSTRICH,0,5.129,1.266,0.312,37.5,0.213,5.4,0.557,0,74.16,1.179,0.591,0.923,5,4.2,23,226,330,76,3.98,0,0.21,0
OSTRICH,0,7.364,1.359,0.301,37.9,0.24,6.44,0.562,0,66.53,1.74,0.74,1.71,5,4.8,26,253,366,73,4.9,0,0.24,0
OSTRICH,0,4.949,1.221,0.302,36.6,0.205,5.21,0.537,0,75.59,0.59,0.43,0.61,5,2.65,23,221,322,90,3.89,0,0.2,0
OSTRICH,0,5.058,1.248,0.308,37.9,0.21,5.33,0.549,0,74.58,0.874,0.462,0.771,5,3.69,23,229,333,70,4.02,0,0.21,0
OSTRICH,0,7.158,1.321,0.293,38,0.233,6.26,0.546,0,66.88,1.59,0.44,1.43,5,4.3,26,254,367,72,4.91,0,0.24,0
OSTRICH,0,4.665,1.151,0.284,33.8,0.194,4.91,0.507,0,75.62,1.25,0.61,1.22,6,3.86,21,204,297,83,3.59,0,0.2,0
OSTRICH,0,7.224,1.333,0.296,46.5,0.235,6.32,0.551,0,67.55,1.45,0.51,1.69,6,4.9,29,281,409,81,4.94,0,0.23,0
OSTRICH,0,4.761,1.175,0.29,35.8,0.198,5.01,0.517,0,75.68,0.85,0.52,0.81,5,3.54,22,216,315,72,3.8,0,0.2,0
OSTRICH,0,4.778,1.179,0.291,36.4,0.198,5.03,0.519,0,74.5,1.23,0.75,1.17,6,4.88,22,220,320,86,3.87,0,0.21,0
OSTRICH,0,4.73,1.167,0.288,35.2,0.196,4.98,0.514,0,76.12,0.79,0.45,0.86,5,2.86,22,213,310,67,3.74,0,0.2,0
OSTRICH,0,7.143,1.318,0.292,37.5,0.232,6.25,0.545,0,68.51,0.97,0.44,1,6,2.79,25,251,362,80,4.85,0,0.23,0
OSTRICH,0,4.691,1.158,0.286,35.4,0.195,4.94,0.509,0,75.35,1.06,0.58,1.2,6,3.13,22,214,312,81,3.76,0,0.2,0
OSTRICH,0,7.051,1.301,0.289,36.6,0.229,6.17,0.538,0,67.95,1.27,0.38,1.32,6,3.31,25,245,353,77,4.72,0,0.23,3.4
CHICKEN,327,13.925,8.315,2.313,88.2,0.292,21.13,0.84,4293,65.22,1.387,1.265,2.033,10,12.88,27,442,315,92,4.01,2.7,0.77,0
SOUP,13,0.62,0.11,0.062,1.9,0.043,0.04,0.01,5,84.05,0.75,1.46,0.82,23,0.64,3,31,138,661,0.7,2.2,0.49,22
SOUP,16,0.41,0.16,0.039,0,0.042,0,0.07,0,75.33,0.48,0.41,0.34,35,1.5,33,75,250,970,1.1,0.2,0.36,1.8
CAMPBELL,0,0,0,0,0,0,0,0,0,88,0,0,0.397,0,0.29,0,0,0,706,0,0,0,0
SOUP,27,0.421,0.07,0.025,6.4,0.065,0.03,0.031,1,70.17,1.62,1.36,1.14,60,1.53,33,98,300,709,0.77,1.2,0.87,2.4
SOUP,0,0.78,0.07,0.049,6.9,0.083,0.06,0.1,0,67.7,2.08,1.25,1.61,66,1.78,37,126,363,831,0.9,0.7,0,0
SOUP,0,0.7,0.04,0.06,6.9,0.06,0.03,0.05,0,78.63,1.58,0.39,1.37,32,1.33,19,59,175,400,0.44,1.8,0,0
SOUP,3,0.78,0.02,0.021,0.7,0.002,0.07,0.01,0,97.55,0.09,0.01,0.11,6,0.17,2,13,54,326,0,0,0,0
SOUP,14,0.849,0.16,0.047,5.9,0.055,0.16,0.03,1,84.42,0.99,0.39,0.91,12,0.88,5,37,79,653,1.23,0.3,1,1.6
SOUP,9,0.265,0.92,0.039,1.8,0.023,0.04,0.01,9,84.96,1.03,2,1.12,32,0.5,5,30,98,685,0.12,0.2,1.39,17.2
SOUP,13,0.31,0.07,0.105,3.6,0.013,0,0.02,69,77.15,2.31,0.23,5.19,111,0.58,3,106,120,693,0.5,0,0.56,4.7
SOUP,12,1.43,0.12,0.059,9.8,0.013,0.13,0.03,13,83.82,2.06,1.06,1.07,12,0.51,3,50,95,618,0.3,0,0.44,2.6
SOUP,9,2.23,0.04,0.046,2.3,0.006,0.2,0.02,0,91.96,0.47,0.22,0.31,6,0.41,2,60,170,626,0.2,0,0.01,0
CAMPBELL SOUP,0,0,0,0,0,0,0,0,0,83.1,0,0,1.613,32,0,0,0,0,661,0,1,0,0
SOUP,8,1.76,0.16,0.069,2.5,0.034,0.1,0.02,2,84.12,1.18,0.55,0.79,10,0.69,3,45,70,354,0.4,0.5,0.13,2.5
SOUP,10,0.392,0.192,0.046,1.9,0.013,0,0,41,82.75,2.045,1.048,1.602,14,1.06,4,31,49,655,0.29,0.1,0.54,4.1
SOUP,0,0.53,0.16,0.3,6.7,0.2,0.02,0.05,0,88.02,0.52,0.28,0.26,19,0.71,3,20,60,693,0.3,4,0.36,5.7
SOUP,6,1.792,0.094,0.063,2.8,0.044,0.08,0.05,1,90.66,0.194,0.112,0.408,8,0.33,5,63,100,343,0.19,0.4,0.12,1.7
SOUP,11,1.103,0.152,0.093,9.9,0.113,0.04,0.041,2,87.48,0.855,0.54,0.536,9,1.35,8,35,44,538,0.32,0,0.05,0
SOUP,5,1.71,0.15,0.041,4.5,0.01,0.13,0.02,1,86.78,0.6,0.28,0.4,14,0.78,4,30,45,370,0.4,1.6,0.24,7.2
SOUP,10,0.918,0.14,0.02,4.1,0.014,0.13,0.02,0,87.84,0.74,0.34,0.37,14,0.61,0,17,82,665,0.21,0.1,0.07,0.3
SOUP,0,1.371,0.14,0.069,5.1,0.017,0.1,0.04,0,83.44,0.9,0.42,0.6,11,0.61,4,44,153,347,0.9,2.3,0,0
SOUP,9,1.004,0.14,0.046,4.5,0.036,0.1,0.039,2,85.52,1.04,0.49,0.69,14,0.71,5,33,126,733,0.3,0.8,0.25,3.3
SOUP,22,0.813,0.221,0.058,5,0.045,0.3,0.12,0,70.86,1.013,0.095,1.242,33,1.62,19,113,400,788,1.56,3.1,1.08,3.2
SOUP,8,0.77,0.1,0.026,6.7,0.024,3.3,0.11,3,86.04,0.41,0.05,0.88,28,1.1,8,35,160,417,0.7,5.1,0.67,3.3
SOUP,0,0.65,0.15,0.032,7.5,0.024,3.23,0.08,3,84.3,0.305,1.027,0.305,19,1.3,8,33,150,457,0.74,3.2,1.03,5.5
CAMPBELL SOUP COMPANY,10,1.059,0.111,0.025,1.7,0.01,0.07,0.037,0,88.8,0.397,0,0.397,0,0,4,33,167,381,0.2,4.8,0.07,0.7
SOUP,7,1.55,0.231,0.165,6.3,0.125,9.47,0.104,17,81.49,0,0.959,0.959,16,2.48,13,260,221,699,0.37,4.1,0.42,0.8
SOUP,0,0.58,0.039,0.023,1.4,0.017,0.14,0.02,0,94.76,0,0,0,7,0.43,4,26,125,653,0.01,0.7,0.01,0
SOUP,0,0.55,0.12,0.03,2.6,0.08,0.08,0.05,0,91.5,0.28,0.16,0.16,27,0.5,6,36,134,506,0.6,0,0,0
SOUP,0,0.93,0.07,0.02,0,0.03,0.2,0.09,0,96.89,0.33,0.15,0.22,13,0.3,2,32,107,1558,0.9,1.8,0,0
SOUP,3,0.38,0.07,0.01,1.5,0.02,0,0.06,0,93.77,0.01,0.03,0.01,10,0.4,3,15,92,303,0.1,2.9,0.18,1.9
SOUP,0,0.545,0.14,0.045,0.3,0.07,0.12,0.09,0,85.75,0.52,0.13,0.45,17,1.07,9,74,144,532,0.3,1.7,0,0
CAMPBELL COMPANY,0,0,0,0,0,0,0,0,0,83.2,0,0,1.613,32,0,0,0,0,718,0,0,0,0
SOUP,7,0.491,0.3,0.049,2.2,0.023,0,0.1,0,86.72,0.38,0.11,0.62,25,0.74,6,46,255,360,0.6,2,0.67,3.2
SOUP,9,0.77,0.28,0.036,2.8,0.044,0,0.08,0,82.95,0.56,0.91,0.44,28,0.75,6,46,255,744,0.6,0.9,0.46,7.8
CAMPBELL,0,0,0,0,0,0,0,0,0,86.4,0,0,0.794,0,0.29,0,0,0,603,0,0,0,0
SOUP,0,0.7,0.1,0.07,0,0.02,0,0.14,0,84.9,0.8,0.57,0.35,10,0.4,7,50,76,573,0.4,0,0,0
SOUP,10,0.424,0.234,0.045,2.4,0.043,0,0,8,83.85,1.11,1.434,1.38,12,1.11,4,26,62,645,0.2,0,0.81,1.7
SOUP,9,0.96,0.19,0.076,3.7,0.028,0,0.03,8,84.6,1.12,0.62,1.24,8,0.67,7,29,126,773,1.1,0.8,0.89,2.3
SOUP,4,0.49,0,0.02,3.5,0.027,0,0.04,3,86.35,0.61,0.53,0.21,22,0.55,2,9,56,732,0.5,1,0.22,0.4
SOUP,11,0.4,0.24,0.06,2.3,0.04,0.04,0.02,27,81,1.67,1.16,1.17,27,0.5,5,30,98,637,0.12,1,0.43,2.2
CAMPBELL'S RED & WHITE,0,0,0,0,0,0,0,0,0,86,0,0,0.397,0,0.29,0,0,0,508,0,0,0,0
SOUP,0,0.19,0.1,0.029,6.8,0.017,1.79,0.01,0,89.88,0.74,0.13,2.04,18,0.8,4,39,40,740,8.4,2.6,0,0
SOUP,27,0.943,0.1,0.052,7.4,0.082,0,0.04,7,68.54,0.76,0.29,1.07,21,1.48,30,95,145,680,1.3,1.3,0.18,0.4
SOUP,17,1.05,0.2,0.039,4.1,0.048,0.1,0.09,0,80.95,0.68,0.24,0.66,14,0.89,16,74,127,402,1.3,2.9,0.2,7.5
SOUP,0,1.098,0.2,0.056,7.4,0.11,0.2,0.05,0,65.67,1.34,0.47,1.31,16,1.7,36,159,297,630,0.99,1.1,0,0
SOUP,0,1,0.28,0.039,0,0.043,0.14,0.05,0,80.62,1.64,0.29,1.68,19,0.73,4,34,124,792,1,1.1,0.07,0
SOUP,9,0.43,0.7,0.029,1.9,0.028,0.04,0.03,19,85.39,0.44,0.33,0.97,16,0.38,1,37,109,637,0.5,0,0.07,1.1
CAMPBELL'S RED & WHITE,0,0,0,0,0,0,0,0,0,84.4,0,0,0.397,0,0.29,0,0,0,524,0,0,0,0
SOUP,0,0.95,0.28,0.037,2.2,0.015,0.22,0.06,0,83.78,0.63,0.45,0.91,12,0.68,3,45,130,716,1.3,0.7,0.06,0
SOUP,7,0.34,0.11,0.022,4.5,0.015,0.47,0.03,30,84.85,1.19,0.15,2.58,14,0.42,7,26,47,685,0.6,0,0,0
CAMPBELL SOUP COMPANY,0,0,0,0,0,0,0,0,0,95.9,0,0,0,0,0,0,0,0,621,0,0,0,0
CAMPBELL SOUP,0,0,0,0,0,0,0,0,0,86.4,0,0,0.397,16,0,0,0,0,690,0,0,0,0
