Category,Choline,Vitamin B3,Vitamin B5,Vitamin B2,Selenium,Vitamin B1,Vitamin B12,Vitamin B6,Retinol,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,.Zinc,Vitamin C,Vitamin E,Vitamin K
CHEESE,15,0.077,0.424,0.37,14.5,0.037,1.12,0.085,90,30.91,7.838,0.593,17.115,1064,0.77,41,760,86,1200,2.58,0,0.23,2.2
CHEESE,0,0.734,1.731,0.586,14.5,0.04,0.64,0.124,290,39.38,8.474,1.32,19.263,662,0.56,30,392,91,1809,2.08,0,0,0
CHEESE,16,0.092,0.429,0.296,18.2,0.063,3.34,0.083,214,37.12,7.274,0.972,17.779,791,0.2,38,567,77,192,4.36,0,0.38,2.5
CHEESE,0,0.205,0.346,0.359,14.5,0.061,2.1,0.065,236,42.86,7.136,0.721,16.775,700,0.23,13,500,65,753,3.5,0,0,0
CHEESE,36,0.069,0.482,0.353,14.4,0.027,0.7,0.071,247,39.16,8.951,0.99,19.694,552,0.19,27,513,169,1489,2.84,0,0.27,2.7
CHEESE,36,0.078,0.485,0.354,14.5,0.027,0.7,0.071,235,39.08,8.937,0.988,19.663,614,0.42,22,744,162,1428,2.98,2.3,0.29,2.9
CHEESE,36,0.038,0.26,0.276,15.9,0.014,1.23,0.036,192,42.31,7.046,0.622,16.045,772,0.61,29,762,216,1370,3.61,0,0.34,2.2
CHEESE FD,0,0.074,0.977,0.446,16.2,0.03,1.28,0.141,148,43.12,7.165,0.719,15.355,497,0.84,30,400,363,966,3.01,0,0,0
CHEESE FD,36,0.17,0.974,0.517,16.1,0.068,1.26,0.073,196,43.21,7.214,1.108,14.895,570,0.57,31,439,291,1265,3.19,0,0.22,3.4
CHEESE FD,0,0.104,0.5,0.4,16.1,0.014,2.3,0.035,233,43.67,6.801,0.6,15.487,723,0.6,28,526,284,1552,3.55,0,0,0
CHEESE SPRD,36,0.131,0.686,0.431,11.3,0.048,0.4,0.117,168,47.65,6.219,0.624,13.327,562,0.33,29,712,242,1345,2.59,0,0.19,1.8
CREAM,19,0.078,0.289,0.149,1.8,0.035,0.33,0.039,95,80.57,3.321,0.427,7.158,105,0.07,10,95,130,41,0.51,0.9,0.33,1.3
CREAM,17,0.057,0.276,0.148,0.6,0.032,0.22,0.032,178,73.75,5.577,0.717,12.02,96,0.04,9,80,122,40,0.27,0.8,0.55,1.7
CREAM,17,0.042,0.259,0.125,0.5,0.024,0.2,0.028,274,63.5,9.093,0.884,19.337,69,0.03,7,61,97,34,0.25,0.6,0.88,2.7
CREAM,17,0.039,0.255,0.11,0.5,0.022,0.18,0.026,405,57.71,10.686,1.374,23.032,65,0.03,7,62,75,38,0.23,0.6,1.06,3.2
CREAM,17,0.07,0.305,0.065,1.4,0.037,0.29,0.041,184,61.33,6.418,0.825,13.831,101,0.05,11,89,147,130,0.37,0,0.64,1.9
CREAM,19,0.067,0.363,0.149,2.1,0.035,0.3,0.016,100,80.14,3.466,0.446,7.47,104,0.07,10,95,129,41,0.5,0.9,0.34,0.6
CREAM,19,0.109,0.336,0.172,2.6,0.036,0.28,0.057,160,74.46,5.068,0.84,11.507,110,0.17,10,115,141,80,0.38,0.9,0.44,1.8
No Category,52,0.105,0.417,0.19,4.2,0.034,0.45,0.05,45,74.37,2.233,0.339,4.443,130,0.2,19,109,165,54,0.46,1.5,0.2,0.2
SOUR DRSNG,15,0.074,0.398,0.163,2.3,0.038,0.33,0.017,3,74.79,1.958,0.468,13.272,113,0.03,10,87,162,48,0.37,0.9,1.34,4.1
MILK,0,0.087,0.301,0.123,2,0.03,0.34,0.04,2,87.67,1.783,0.75,0.768,128,0.05,13,97,139,57,0.36,0.9,0,0
MILK,15,0.087,0.301,0.123,2,0.03,0.34,0.04,2,87.73,0.1,0.01,3.101,128,0.05,13,97,139,57,0.36,0.9,0.13,0.8
CREAM SUB,0,0,0,0,1.1,0,0,0,0,77.27,7.551,0.027,1.937,9,0.03,0,64,191,79,0.02,0,0.81,2.5
CREAM SUB,0,0,0,0,1.1,0,0,0,0,77.27,0.106,0.003,9.304,9,0.03,0,64,191,79,0.02,0,0,0
CREAM SUBSTITUTE,2,0,0,0.165,0.6,0,0,0,0,2.21,0.968,0.014,32.525,22,1.15,4,422,812,181,0.51,0,0.59,8.8
DESSERT TOPPING,0,0,0,0,0.6,0,0,0,0,1.47,0.6,0.447,36.723,17,0.03,7,74,166,122,0.08,0,1.52,9.9
DESSERT TOPPING,11,0.06,0.226,0.117,4.8,0.027,0.26,0.03,21,66.65,0.843,0.201,10.684,90,0.04,10,86,151,66,0.27,0.7,0.44,2.7
DESSERT TOPPING,0,0,0,0,1.5,0,0,0,0,60.37,1.927,0.241,18.912,5,0.02,1,18,19,62,0.01,0,0.85,5.5
DESSERT TOPPING,0,0,0,0,2.1,0,0,0,0,50.21,1.616,0.523,21.783,6,0.12,2,8,18,25,0.03,0,0.96,6.3
SOUR CRM,0,0,0,0,2.5,0,0,0,0,71.15,0.588,0.056,17.791,3,0.39,6,45,161,102,1.18,0,0.74,4.8
MILK SUBSTITUTES,0,0,0,0.088,1.9,0.012,0,0,0,88.18,1.998,0.488,0.767,33,0.39,6,74,114,78,1.18,0,0.28,0.8
MILK SUBSTITUTES,0,0,0,0.088,1.9,0.012,0,0,0,88.18,0.176,0.008,3.037,33,0.39,6,74,114,78,1.18,0,0,0
MILK,14,0.107,0.362,0.183,3.7,0.044,0.44,0.036,28,88.32,0.812,0.195,1.865,113,0.03,10,91,143,40,0.4,0,0.06,0.2
MILK,0,0.084,0.313,0.161,2,0.038,0.36,0.042,31,87.69,1.057,0.136,2.278,119,0.05,13,93,151,49,0.38,1.5,0,0
MILK,16,0.092,0.356,0.185,2.5,0.039,0.46,0.038,55,89.33,0.56,0.073,1.257,117,0.03,11,94,150,41,0.43,0.2,0.03,0.2
MILK,0,0.09,0.336,0.173,2.3,0.04,0.38,0.045,55,88.86,0.555,0.071,1.195,128,0.05,14,100,162,52,0.4,1,0,0
MILK,0,0.101,0.376,0.194,2.6,0.045,0.43,0.051,0,87.71,0.572,0.074,1.232,143,0.06,16,112,182,59,0.45,1.1,0.04,0.1
MILK,18,0.093,0.361,0.185,3.3,0.02,0.44,0.037,58,89.92,0.277,0.035,0.633,119,0.03,11,95,150,44,0.42,0,0.01,0.1
MILK,0,0.09,0.336,0.173,2.3,0.04,0.38,0.045,58,89.81,0.28,0.036,0.604,128,0.05,14,100,162,52,0.4,1,0,0
MILK,0,0.1,0.373,0.192,2.5,0.045,0.43,0.05,61,88.74,0.338,0.043,0.728,142,0.06,16,111,180,58,0.45,1.2,0,0
MILK,16,0.094,0.357,0.182,3.1,0.045,0.53,0.037,61,90.84,0.021,0.003,0.051,125,0.03,11,101,156,42,0.42,0,0.01,0
MILK,16,0.091,0.339,0.175,2.2,0.041,0.39,0.046,61,90.38,0.065,0.009,0.162,129,0.05,15,104,171,53,0.41,1,0,0
MILK,0,0.101,0.376,0.194,2.4,0.045,0.43,0.05,61,89.36,0.065,0.009,0.162,143,0.06,16,112,182,59,0.45,1.1,0,0
MILK,16,0.058,0.275,0.154,2,0.034,0.22,0.034,7,90.13,0.254,0.033,0.548,116,0.05,11,89,151,105,0.42,1,0.05,0.1
MILK,16,0.043,0.304,0.105,2,0.02,0.36,0.034,28,88.2,0.999,0.128,2.154,101,0.05,5,86,253,3,0.38,0.9,0.06,0.2
MILK,119,0.646,2.271,1.205,16.3,0.283,3.25,0.302,253,2.47,7.924,0.665,16.742,912,0.47,85,776,1330,371,3.34,8.6,0.48,1.8
MILK,169,0.951,3.568,1.55,27.3,0.415,4.03,0.361,6,3.16,0.201,0.03,0.499,1257,0.32,110,968,1794,535,4.08,6.8,0,0.1
MILK,168,0.891,3.235,1.744,27.3,0.413,3.99,0.345,709,3.96,0.187,0.028,0.467,1231,0.31,117,985,1705,549,4.41,5.6,0.01,0
MILK,0,0.665,3.312,1.642,27.3,0.163,3.98,0.298,1,4.9,0.058,0.007,0.124,280,0.32,60,1011,680,2280,4.03,6.7,0,0
MILK,119,0.876,3.17,1.579,20.3,0.392,3.82,0.338,48,2.97,1.669,0.215,3.598,1184,0.3,110,933,1592,517,4.02,5.7,0.1,0.4
MILK,89,0.21,0.75,0.416,14.8,0.09,0.44,0.051,73,27.16,2.427,0.337,5.486,284,0.19,26,253,371,127,0.94,2.6,0.16,0.6
MILK,32,0.194,0.638,0.316,2.3,0.047,0.16,0.05,64,74.04,2.335,0.245,4.591,261,0.19,24,203,303,106,0.77,1.9,0.14,0.5
MILK,25,0.174,0.738,0.309,2.5,0.045,0.24,0.055,118,79.4,0.062,0.006,0.121,290,0.29,27,195,332,115,0.9,1.2,0,0
MILK,17,0.125,0.295,0.162,1.9,0.037,0.33,0.04,26,82.3,0.99,0.124,2.104,112,0.24,13,101,167,60,0.41,0.9,0.06,0.2
MILK,17,0.164,0.539,0.183,3.4,0.045,0.33,0.024,63,82.17,0.455,0.089,1.177,109,0.24,14,102,169,66,0.39,0,0.04,0.2
MILK,17,0.127,0.302,0.166,1.9,0.038,0.34,0.041,58,84.5,0.3,0.035,0.616,115,0.24,13,103,170,61,0.41,0.9,0.02,0.1
MILK,0,0.133,0.328,0.182,2.7,0.039,0.42,0.04,51,82.57,0.677,0.034,1.431,105,0.48,23,105,197,44,0.63,0.2,0.03,0.2
MILK,16,0.277,0.31,0.138,1.4,0.048,0.07,0.046,56,87.03,1.109,0.149,2.667,134,0.05,14,111,204,50,0.3,1.3,0.07,0.3
MILK,16,0.177,0.223,0.036,1.8,0.014,0.05,0.011,60,87.5,1.658,0.497,2.009,32,0.03,3,14,51,17,0.17,5,0.08,0.3
MILK,0,0.091,0.192,0.135,0,0.052,0.36,0.023,53,83.39,1.787,0.146,4.597,169,0.12,31,117,178,52,0.22,2.3,0,0
MILK,0,0.417,0.407,0.355,1.7,0.065,0.71,0.06,44,80.7,1.724,0.308,4.603,193,0.1,18,158,137,44,0.54,4.2,0,0
MILK SHAKES,0,0.124,0.363,0.222,1.9,0.047,0.32,0.025,18,72.2,0.78,0.1,1.681,132,0.31,16,126,224,111,0.48,0,0.05,0.2
MILK SHAKES,0,0.146,0.368,0.195,2.3,0.03,0.52,0.042,25,74.45,0.875,0.113,1.886,146,0.1,12,115,183,95,0.39,0,0.05,0.2
WHEY,16,0.079,0.381,0.14,1.8,0.042,0.18,0.042,2,93.42,0.025,0.004,0.057,103,0.08,10,78,143,48,0.43,0.1,0,0
WHEY,225,1.16,5.632,2.06,27.3,0.622,2.5,0.62,17,3.51,0.149,0.021,0.342,2054,1.24,199,1349,2289,968,6.31,0.9,0,0
WHEY,16,0.074,0.383,0.158,1.9,0.036,0.28,0.031,3,93.12,0.1,0.011,0.23,47,0.06,8,46,161,54,0.13,0.1,0,0
WHEY,225,1.258,5.62,2.208,27.2,0.519,2.37,0.584,8,3.19,0.297,0.034,0.684,796,0.88,176,932,2080,1079,1.97,1.5,0.02,0.1
YOGURT,15,0.075,0.389,0.142,2.2,0.029,0.37,0.032,27,87.9,0.893,0.092,2.096,121,0.05,12,95,155,46,0.59,0.5,0.06,0.2
YOGURT,15,0.114,0.591,0.214,3.3,0.044,0.56,0.049,14,85.07,0.426,0.044,1,183,0.08,17,144,234,70,0.89,0.8,0.03,0.2
YOGURT,15,0.124,0.641,0.234,3.6,0.048,0.61,0.053,2,85.23,0.049,0.005,0.116,199,0.09,19,157,255,77,0.97,0.9,0,0.2
YOGURT,15,0.107,0.552,0.201,4.9,0.042,0.53,0.045,12,79,0.343,0.036,0.806,171,0.07,16,135,219,66,0.83,0.8,0.02,0.1
YOGURT,15,0.086,0.446,0.162,2.8,0.034,0.43,0.037,11,75.3,0.316,0.033,0.742,138,0.06,13,109,177,53,0.67,0.6,0.02,0.1
YOGURT,14,0.095,0.489,0.178,3.1,0.037,0.47,0.04,10,74.48,0.297,0.031,0.697,152,0.07,15,119,195,58,0.74,0.7,0.02,0.1
YOGURT,0,0.105,0.544,0.198,3.1,0.041,0.52,0.045,0,74.1,0.387,0.04,0.909,169,0.07,16,133,216,65,0.82,0.7,0,0
EGG,251,0.07,1.438,0.478,31.7,0.069,1.29,0.143,139,75.84,3.81,1.364,3.099,53,1.83,12,191,134,140,1.11,0,0.97,0.3
EGG,1,0.105,0.19,0.439,20,0.004,0.09,0.005,0,87.57,0,0,0,7,0.08,11,15,163,166,0.03,0,0,0
EGG,682,0.024,2.99,0.528,56,0.176,1.95,0.35,371,52.31,11.738,4.204,9.551,129,2.73,5,390,109,48,2.3,0,2.58,0.7
EGG,682,0.045,3.53,0.52,41.8,0.155,1.82,0.345,423,56.2,9.747,3.628,7.82,138,3.34,9,417,118,67,2.88,0,2.49,0.7
EGG,0,0.023,3.2,0.53,37.7,0.135,1.77,0.284,395,51.25,8.614,3.244,6.97,123,3.14,10,384,103,67,2.81,0,0,0
EGG,273,0.077,1.558,0.518,34.2,0.075,1.39,0.155,193,69.13,6.346,2.66,4.294,59,1.98,13,208,147,204,1.2,0,1.22,5.6
EGG,225,0.064,1.398,0.513,30.8,0.066,1.11,0.121,168,74.62,4.077,1.414,3.267,50,1.19,10,172,126,124,1.05,0,1.03,0.3
EGG,212,0.06,1.21,0.404,26.7,0.058,1.09,0.121,152,75.87,4.971,2.252,3.296,47,1.55,10,162,114,161,0.93,0,1.22,4.5
EGG,200,0.059,1.433,0.405,31.6,0.055,1.28,0.121,138,75.54,3.795,1.359,3.087,53,1.83,12,190,133,294,1.1,0,0.96,0.3
EGG,190,0.079,1.007,0.437,22.5,0.052,0.77,0.118,140,73.15,4.768,2.148,3.679,71,1.2,12,170,138,280,1,0.2,1.09,4
EGG,1007,0.305,5.905,1.54,119.6,0.195,3.95,0.388,270,3.1,15.337,5.804,12.727,231,6.79,42,831,493,523,5.28,0,3.88,1.2
EGG,0,0.259,6.71,1.232,121.1,0.325,10.51,0.42,616,1.87,17.564,5.713,13.198,222,8.28,49,715,515,548,5.71,0,0,0
EGG,0,0.675,1.829,2.162,116.8,0.035,0.49,0.023,0,14.62,0,0,0,83,0.23,67,83,1042,1156,0.15,0,0,0
EGG,8,0.723,1.958,2.316,125.1,0.037,0.53,0.024,0,8.54,0,0,0,89,0.24,72,89,1116,1238,0.16,0,0,0
EGG,1388,0.095,7.765,1.88,86.8,0.29,5.33,0.66,395,2.95,21.129,7.895,17.154,284,5.42,13,920,244,135,4.93,0,5.42,1.5
EGG,263,0.2,1.862,0.404,36.4,0.156,5.4,0.25,192,70.83,6.525,1.223,3.681,64,3.85,17,220,222,146,1.41,0,1.34,0.4
EGG,263,0.189,1.759,0.382,36.9,0.147,5.1,0.236,185,70.43,5.747,1.672,3.595,60,3.64,16,208,210,138,1.33,0,1.29,0.4
EGG,263,0.15,1.761,0.79,32,0.13,1.58,0.15,155,74.35,4.324,1.324,3.557,64,3.65,13,226,132,141,1.47,0,1.08,0.3
EGG,0,0.024,1.889,0.47,34.3,0.11,1.69,0.131,166,72.5,4.571,1.658,3.632,99,4.1,13,170,142,151,1.58,0,0,0
EGG SUBSTITUTE,2,0.14,1.66,0.386,41.3,0.12,0.34,0.133,0,73.1,2.435,6.241,1.93,73,1.98,15,72,213,199,0.98,0.5,1.59,0.2
EGG SUBSTITUTE,2,0.11,2.7,0.3,24.9,0.11,0.3,0.003,0,82.75,0.896,1.603,0.659,53,2.1,9,121,330,177,1.3,0,0.27,0.8
EGG SUBSTITUTE,118,0.577,3.384,1.76,127.7,0.226,3.52,0.143,369,3.86,5.341,1.683,3.766,326,3.16,65,478,744,800,1.82,0.8,1.26,0.4
BUTTER,19,0.042,0.11,0.034,1,0.005,0.17,0.003,671,17.94,21.021,3.043,51.368,24,0.02,2,24,24,11,0.09,0,2.32,7
CHEESE,0,0.287,0.527,0.352,23.9,0.041,1.4,0.105,108,25,8.734,0.661,17.37,1253,0.87,51,735,97,1696,3.19,0,0,0
CHEESE,0,0.069,0.482,0.353,14.4,0.027,0.7,0.071,247,39.16,8.951,0.99,19.694,616,0.39,22,444,162,650,2.99,0,0.27,2.7
CHEESE,0,0.038,0.26,0.276,15.9,0.014,1.23,0.036,221,42.31,7.046,0.622,16.045,772,0.61,29,540,216,681,3.61,0,0,0
CHEESE FD,0,0.14,0.558,0.442,16,0.029,1.12,0.141,196,43.15,7.206,0.723,15.443,574,0.84,31,754,279,1596,2.99,0,0.22,0
CHEESE SPRD,0,0.131,0.686,0.431,11.3,0.048,0.4,0.117,0,47.65,6.219,0.624,13.327,562,0.33,29,875,242,1625,2.59,0,0,0
MILK,0,0.088,0.329,0.14,2.1,0.036,0.38,0.04,2,90.8,0.047,0.007,0.117,123,0.04,11,101,166,52,0.4,1,0.04,0
MILK,0,0.101,0.339,0.194,2.6,0.045,0.39,0.046,16,87.71,0.065,0.009,1.232,143,0.06,15,112,182,59,0.41,1.1,0,0
MILK,0,0.194,0.638,0.316,2.3,0.047,0.16,0.05,0,74.04,2.335,0.245,4.591,261,0.19,24,203,303,106,0.77,1.9,0,0
MILK,169,0.951,3.568,1.55,27.3,0.415,4.03,0.361,653,3.16,0.2,0.03,0.499,1257,0.32,110,968,1794,535,4.08,6.8,0,0.1
MILK,0,0.891,3.23,1.744,27.3,0.413,3.99,0.345,4,3.96,0.19,0.03,0.47,1231,0.31,117,985,1705,549,4.41,5.6,0.01,0
CHEESE,15,2.4,0.41,1.19,5.5,0.14,0.12,0.08,478,29.01,8.117,0.845,24.609,895,1.88,54,729,48,346,1.59,0,0.31,3
CHEESE,15,1.148,0.19,0.676,3.8,0.072,0.22,0.06,401,45.52,6.808,0.709,20.639,298,1.62,29,375,158,515,0.66,0,0.26,2.5
CHEESE,15,0.43,0.68,0.38,2.8,0.07,0.19,0.25,283,60.75,4.807,0.501,14.575,140,1.9,16,256,26,368,0.92,0,0.18,1.8
EGG,0,0.04,3.23,0.43,37.7,0.13,2.52,0.261,357,50.8,8.849,3.15,7.028,114,3.75,10,431,117,3780,2.84,0,0,0
